"","uniqueid","island","site","transect","top_color","bowl_color","order","count","dateout","datecoll","duration","order_abbrev"
"120","Saipan_ForbiGrid_L1","saipan","forbig","L1","b","w","lepidoptera",6,2018-01-17,2018-01-20,3,"lpdpt"
"121","Saipan_ForbiGrid_L1","saipan","forbig","L1","b","b","diptera",6,2018-01-17,2018-01-20,3,"diptr"
"122","Saipan_ForbiGrid_L1","saipan","forbig","L1","b","r","apoidea",6,2018-01-17,2018-01-20,3,"apoid"
"123","Saipan_ForbiGrid_L1","saipan","forbig","L1","y","r","hemiptera",6,2018-01-17,2018-01-20,3,"hmptr"
"124","Saipan_ForbiGrid_L1","saipan","forbig","L1","b","y","coleoptera",6,2018-01-17,2018-01-20,3,"clptr"
"125","Saipan_ForbiGrid_L1","saipan","forbig","L1","r","y","diptera",6,2018-01-17,2018-01-20,3,"diptr"
"126","Saipan_ForbiGrid_L2","saipan","forbig","L2","y","b","diptera",6,2018-01-17,2018-01-20,3,"diptr"
"127","Saipan_ForbiGrid_L2","saipan","forbig","L2","r","b","diptera",6,2018-01-17,2018-01-20,3,"diptr"
"128","Saipan_LADTA_L1","saipan","ladta","L1","r","y","lepidoptera",6,2018-01-17,2018-01-20,3,"lpdpt"
"129","Saipan_LADTA_L2","saipan","ladta","L2","w","y","apoidea",6,2018-01-17,2018-01-20,3,"apoid"
"130","Saipan_LADTA_L2","saipan","ladta","L2","r","r","coleoptera",6,2018-01-17,2018-01-20,3,"clptr"
"131","Saipan_LADTA_L2","saipan","ladta","L2","r","r","lepidoptera",6,2018-01-17,2018-01-20,3,"lpdpt"
"132","Saipan_Ladtg_L3","saipan","ladtg","L3","b","y","lepidoptera",6,NA,NA,NA,"lpdpt"
"133","Saipan_Ladtg_L3","saipan","ladtg","L3","y","y","crabronidae",6,NA,NA,NA,"crbrn"
"134","Guam_Anao_L1","guam","anao","L1","y","b","formicidae",5,2018-01-12,2018-01-15,3,"frmcd"
"135","Guam_Anao_L1","guam","anao","L1","r","b","formicidae",5,2018-01-12,2018-01-15,3,"frmcd"
"136","Guam_Anao_L1","guam","anao","L1","r","y","diptera",5,2018-01-12,2018-01-15,3,"diptr"
"137","Guam_Anao_L1","guam","anao","L1","r","y","formicidae",5,2018-01-12,2018-01-15,3,"frmcd"
"138","Guam_Anao_L2","guam","anao","L2","w","b","formicidae",5,2018-01-12,2018-01-15,3,"frmcd"
"139","Guam_Racetrack_L2","guam","race","L2","w","y","lepidoptera",5,2018-01-12,2018-01-15,3,"lpdpt"
"140","Guam_Racetrack_L3","guam","race","L3","y","y","apoidea",5,2018-01-12,2018-01-15,3,"apoid"
"141","Guam_Racetrack_L3","guam","race","L3","b","w","formicidae",5,2018-01-12,2018-01-15,3,"frmcd"
"142","Guam_Sblas_L1","guam","sblas","L1","w","y","formicidae",5,2018-01-12,2018-01-15,3,"frmcd"
"143","Guam_Sblas_L1","guam","sblas","L1","w","b","formicidae",5,2018-01-12,2018-01-15,3,"frmcd"
"144","Guam_Sblas_L3","guam","sblas","L3","w","y","diptera",5,2018-01-12,2018-01-15,3,"diptr"
"145","Guam_Sblas_L3","guam","sblas","L3","w","y","lepidoptera",5,2018-01-12,2018-01-15,3,"lpdpt"
"146","Saipan_ForbiA_L2","saipan","forbia","L2","b","y","hemiptera",5,2018-01-17,2018-01-20,3,"hmptr"
"147","Saipan_ForbiA_L2","saipan","forbia","L2","w","y","lepidoptera",5,2018-01-17,2018-01-20,3,"lpdpt"
"148","Saipan_ForbiA_L2","saipan","forbia","L2","r","r","lepidoptera",5,2018-01-17,2018-01-20,3,"lpdpt"
"149","Saipan_ForbiA_L3","saipan","forbia","L3","r","b","diptera",5,2018-01-17,2018-01-20,3,"diptr"
"150","Saipan_ForbiA_L3","saipan","forbia","L3","r","r","diptera",5,2018-01-17,2018-01-20,3,"diptr"
"151","Saipan_ForbiGrid_L1","saipan","forbig","L1","y","b","apoidea",5,2018-01-17,2018-01-20,3,"apoid"
"152","Saipan_ForbiGrid_L1","saipan","forbig","L1","b","r","lepidoptera",5,2018-01-17,2018-01-20,3,"lpdpt"
"153","Saipan_ForbiGrid_L1","saipan","forbig","L1","r","r","diptera",5,2018-01-17,2018-01-20,3,"diptr"
"154","Saipan_ForbiGrid_L1","saipan","forbig","L1","r","y","hemiptera",5,2018-01-17,2018-01-20,3,"hmptr"
"155","Saipan_ForbiGrid_L2","saipan","forbig","L2","r","r","diptera",5,2018-01-17,2018-01-20,3,"diptr"
"156","Saipan_ForbiGrid_L3","saipan","forbig","L3","r","b","lepidoptera",5,2018-01-17,2018-01-20,3,"lpdpt"
"157","Saipan_LADTA_L1","saipan","ladta","L1","r","w","lepidoptera",5,2018-01-17,2018-01-20,3,"lpdpt"
"158","Saipan_LADTA_L2","saipan","ladta","L2","y","r","diptera",5,2018-01-17,2018-01-20,3,"diptr"
"159","Saipan_LADTA_L2","saipan","ladta","L2","b","w","apoidea",5,2018-01-17,2018-01-20,3,"apoid"
"160","Saipan_LADTA_L2","saipan","ladta","L2","w","w","lepidoptera",5,2018-01-17,2018-01-20,3,"lpdpt"
"161","Saipan_LADTA_L2","saipan","ladta","L2","r","b","coleoptera",5,2018-01-17,2018-01-20,3,"clptr"
"162","Saipan_Ladtg_L1","saipan","ladtg","L1","b","w","diptera",5,NA,NA,NA,"diptr"
"163","Saipan_Ladtg_L1","saipan","ladtg","L1","w","y","apoidea",5,NA,NA,NA,"apoid"
"164","Saipan_LADTG_L2","saipan","ladtg","L2","b","b","diptera",5,2018-01-17,2018-01-20,3,"diptr"
"165","Saipan_LADTG_L2","saipan","ladtg","L2","b","w","diptera",5,2018-01-17,2018-01-20,3,"diptr"
"166","Saipan_LADTG_L2","saipan","ladtg","L2","w","b","diptera",5,2018-01-17,2018-01-20,3,"diptr"
"167","Saipan_LADTG_L2","saipan","ladtg","L2","w","b","apoidea",5,2018-01-17,2018-01-20,3,"apoid"
"168","Saipan_Ladtg_L3","saipan","ladtg","L3","r","r","diptera",5,NA,NA,NA,"diptr"
"169","Saipan_Ladtg_L3","saipan","ladtg","L3","r","y","diptera",5,NA,NA,NA,"diptr"
"170","Saipan_Ladtg_L3","saipan","ladtg","L3","b","b","diptera",5,NA,NA,NA,"diptr"
"171","Saipan_Ladtg_L3","saipan","ladtg","L3","b","b","apoidea",5,NA,NA,NA,"apoid"
"172","Saipan_Ladtg_L3","saipan","ladtg","L3","y","y","apoidea",5,NA,NA,NA,"apoid"
"173","Saipan_Ladtg_L3","saipan","ladtg","L3","y","r","diptera",5,NA,NA,NA,"diptr"
"174","Saipan_Ladtg_L3","saipan","ladtg","L3","y","b","diptera",5,NA,NA,NA,"diptr"
"175","Saipan_MTRL_L2","saipan","mtrl","L2","w","r","lepidoptera",5,2018-01-17,2018-01-20,3,"lpdpt"
"176","Saipan_MTRL_L2","saipan","mtrl","L2","y","r","lepidoptera",5,2018-01-17,2018-01-20,3,"lpdpt"
"177","Saipan_MTRL_L2","saipan","mtrl","L2","w","w","lepidoptera",5,2018-01-17,2018-01-20,3,"lpdpt"
"178","Saipan_MTRL_L2","saipan","mtrl","L2","w","b","lepidoptera",5,2018-01-17,2018-01-20,3,"lpdpt"
"179","Saipan_MTRL_L2","saipan","mtrl","L2","y","y","lepidoptera",5,2018-01-17,2018-01-20,3,"lpdpt"
"180","Guam_Anao_L1","guam","anao","L1","r","b","diptera",4,2018-01-12,2018-01-15,3,"diptr"
"181","Guam_Anao_L1","guam","anao","L1","r","w","formicidae",4,2018-01-12,2018-01-15,3,"frmcd"
"182","Guam_Nblas_L2","guam","nblas","L2","r","w","diptera",4,2018-01-12,2018-01-15,3,"diptr"
"183","Guam_Nblas_L3","guam","nblas","L3","y","y","formicidae",4,2018-01-12,2018-01-15,3,"frmcd"
"184","Guam_Racetrack_L1","guam","race","L1","y","w","diptera",4,2018-01-12,2018-01-15,3,"diptr"
"185","Guam_Racetrack_L1","guam","race","L1","y","w","formicidae",4,2018-01-12,2018-01-15,3,"frmcd"
"186","Guam_Racetrack_L1","guam","race","L1","y","w","isoptera",4,2018-01-12,2018-01-15,3,"isptr"
"187","Guam_Racetrack_L2","guam","race","L2","y","r","diptera",4,2018-01-12,2018-01-15,3,"diptr"
"188","Guam_Racetrack_L2","guam","race","L2","y","w","diptera",4,2018-01-12,2018-01-15,3,"diptr"
"189","Guam_Racetrack_L2","guam","race","L2","w","r","diptera",4,2018-01-12,2018-01-15,3,"diptr"
"190","Guam_Racetrack_L2","guam","race","L2","w","w","formicidae",4,2018-01-12,2018-01-15,3,"frmcd"
"191","Guam_Racetrack_L3","guam","race","L3","y","y","formicidae",4,2018-01-12,2018-01-15,3,"frmcd"
"192","Guam_Racetrack_L3","guam","race","L3","r","b","formicidae",4,2018-01-12,2018-01-15,3,"frmcd"
"193","Guam_Riti_L3","guam","riti","L3","b","w","formicidae",4,2018-01-12,2018-01-15,3,"frmcd"
"194","Guam_Sblas_L3","guam","sblas","L3","r","r","formicidae",4,2018-01-12,2018-01-15,3,"frmcd"
"195","Guam_Sblas_L3","guam","sblas","L3","r","w","formicidae",4,2018-01-12,2018-01-15,3,"frmcd"
"196","Saipan_ForbiA_L1","saipan","forbia","L1","b","r","lepidoptera",4,2018-01-17,2018-01-20,3,"lpdpt"
"197","Saipan_ForbiA_L1","saipan","forbia","L1","w","w","lepidoptera",4,2018-01-17,2018-01-20,3,"lpdpt"
"198","Saipan_ForbiA_L2","saipan","forbia","L2","y","r","lepidoptera",4,2018-01-17,2018-01-20,3,"lpdpt"
"199","Saipan_ForbiA_L2","saipan","forbia","L2","b","w","diptera",4,2018-01-17,2018-01-20,3,"diptr"
"200","Saipan_ForbiA_L2","saipan","forbia","L2","w","y","diptera",4,2018-01-17,2018-01-20,3,"diptr"
"201","Saipan_ForbiA_L2","saipan","forbia","L2","w","w","diptera",4,2018-01-17,2018-01-20,3,"diptr"
"202","Saipan_ForbiA_L3","saipan","forbia","L3","r","w","diptera",4,2018-01-17,2018-01-20,3,"diptr"
"203","Saipan_ForbiA_L3","saipan","forbia","L3","y","w","diptera",4,2018-01-17,2018-01-20,3,"diptr"
"204","Saipan_ForbiGrid_L1","saipan","forbig","L1","y","b","diptera",4,2018-01-17,2018-01-20,3,"diptr"
"205","Saipan_ForbiGrid_L1","saipan","forbig","L1","y","w","apoidea",4,2018-01-17,2018-01-20,3,"apoid"
"206","Saipan_ForbiGrid_L1","saipan","forbig","L1","b","b","lepidoptera",4,2018-01-17,2018-01-20,3,"lpdpt"
"207","Saipan_ForbiGrid_L1","saipan","forbig","L1","r","w","apoidea",4,2018-01-17,2018-01-20,3,"apoid"
"208","Saipan_ForbiGrid_L1","saipan","forbig","L1","r","r","hemiptera",4,2018-01-17,2018-01-20,3,"hmptr"
"209","Saipan_ForbiGrid_L2","saipan","forbig","L2","b","w","diptera",4,2018-01-17,2018-01-20,3,"diptr"
"210","Saipan_ForbiGrid_L2","saipan","forbig","L2","w","b","diptera",4,2018-01-17,2018-01-20,3,"diptr"
"211","Saipan_ForbiGrid_L2","saipan","forbig","L2","r","y","crabronidae",4,2018-01-17,2018-01-20,3,"crbrn"
"212","Saipan_ForbiGrid_L3","saipan","forbig","L3","r","w","diptera",4,2018-01-17,2018-01-20,3,"diptr"
"213","Saipan_ForbiGrid_L3","saipan","forbig","L3","y","w","diptera",4,2018-01-17,2018-01-20,3,"diptr"
"214","Saipan_LADTA_L1","saipan","ladta","L1","b","y","diptera",4,2018-01-17,2018-01-20,3,"diptr"
"215","Saipan_LADTA_L2","saipan","ladta","L2","y","y","lepidoptera",4,2018-01-17,2018-01-20,3,"lpdpt"
"216","Saipan_LADTA_L2","saipan","ladta","L2","y","r","lepidoptera",4,2018-01-17,2018-01-20,3,"lpdpt"
"217","Saipan_LADTA_L2","saipan","ladta","L2","b","y","apoidea",4,2018-01-17,2018-01-20,3,"apoid"
"218","Saipan_LADTA_L2","saipan","ladta","L2","b","y","crabronidae",4,2018-01-17,2018-01-20,3,"crbrn"
"219","Saipan_LADTA_L2","saipan","ladta","L2","b","b","diptera",4,2018-01-17,2018-01-20,3,"diptr"
"220","Saipan_LADTA_L2","saipan","ladta","L2","b","w","lepidoptera",4,2018-01-17,2018-01-20,3,"lpdpt"
"221","Saipan_LADTA_L2","saipan","ladta","L2","b","r","apoidea",4,2018-01-17,2018-01-20,3,"apoid"
"222","Saipan_LADTA_L2","saipan","ladta","L2","r","w","lepidoptera",4,2018-01-17,2018-01-20,3,"lpdpt"
"223","Saipan_LADTA_L2","saipan","ladta","L2","r","r","apoidea",4,2018-01-17,2018-01-20,3,"apoid"
"224","Saipan_Ladtg_L1","saipan","ladtg","L1","b","w","lepidoptera",4,NA,NA,NA,"lpdpt"
"225","Saipan_Ladtg_L1","saipan","ladtg","L1","b","r","lepidoptera",4,NA,NA,NA,"lpdpt"
"226","Saipan_Ladtg_L1","saipan","ladtg","L1","b","y","apoidea",4,NA,NA,NA,"apoid"
"227","Saipan_Ladtg_L1","saipan","ladtg","L1","r","y","diptera",4,NA,NA,NA,"diptr"
"228","Saipan_Ladtg_L1","saipan","ladtg","L1","r","w","coleoptera",4,NA,NA,NA,"clptr"
