"","uniqueid","island","site","transect","top_color","bowl_color","order","count","date traps out","date traps coll"
"21","Guam_Anao_L1","Guam","Anao","L1","y","w","blattodea",0,2018-01-12,2018-01-15
"22","Guam_Anao_L1","Guam","Anao","L1","y","w","araneae",0,2018-01-12,2018-01-15
"23","Guam_Anao_L1","Guam","Anao","L1","y","w","isoptera",0,2018-01-12,2018-01-15
"24","Guam_Anao_L1","Guam","Anao","L1","y","w","partial",0,2018-01-12,2018-01-15
"25","Guam_Anao_L1","Guam","Anao","L1","y","w","trichoptera",0,2018-01-12,2018-01-15
"26","Guam_Anao_L1","Guam","Anao","L1","y","w","other",0,2018-01-12,2018-01-15
"27","Guam_Anao_L1","Guam","Anao","L1","y","b","diptera",0,2018-01-12,2018-01-15
"28","Guam_Anao_L1","Guam","Anao","L1","y","b","hemiptera",0,2018-01-12,2018-01-15
"29","Guam_Anao_L1","Guam","Anao","L1","y","b","coleoptera",0,2018-01-12,2018-01-15
"30","Guam_Anao_L1","Guam","Anao","L1","y","b","formicidae",5,2018-01-12,2018-01-15
"31","Guam_Anao_L1","Guam","Anao","L1","y","b","apoidea",0,2018-01-12,2018-01-15
"32","Guam_Anao_L1","Guam","Anao","L1","y","b","crabronidae",0,2018-01-12,2018-01-15
"33","Guam_Anao_L1","Guam","Anao","L1","y","b","lepidoptera",0,2018-01-12,2018-01-15
"34","Guam_Anao_L1","Guam","Anao","L1","y","b","blattodea",0,2018-01-12,2018-01-15
"35","Guam_Anao_L1","Guam","Anao","L1","y","b","araneae",0,2018-01-12,2018-01-15
"36","Guam_Anao_L1","Guam","Anao","L1","y","b","isoptera",0,2018-01-12,2018-01-15
"37","Guam_Anao_L1","Guam","Anao","L1","y","b","partial",0,2018-01-12,2018-01-15
"38","Guam_Anao_L1","Guam","Anao","L1","y","b","trichoptera",0,2018-01-12,2018-01-15
"39","Guam_Anao_L1","Guam","Anao","L1","y","b","other",0,2018-01-12,2018-01-15
"40","Guam_Anao_L1","Guam","Anao","L1","y","r","diptera",0,2018-01-12,2018-01-15
"41","Guam_Anao_L1","Guam","Anao","L1","y","r","hemiptera",0,2018-01-12,2018-01-15
"42","Guam_Anao_L1","Guam","Anao","L1","y","r","coleoptera",1,2018-01-12,2018-01-15
"43","Guam_Anao_L1","Guam","Anao","L1","y","r","formicidae",1,2018-01-12,2018-01-15
"44","Guam_Anao_L1","Guam","Anao","L1","y","r","apoidea",0,2018-01-12,2018-01-15
"45","Guam_Anao_L1","Guam","Anao","L1","y","r","crabronidae",0,2018-01-12,2018-01-15
"46","Guam_Anao_L1","Guam","Anao","L1","y","r","lepidoptera",0,2018-01-12,2018-01-15
"47","Guam_Anao_L1","Guam","Anao","L1","y","r","blattodea",0,2018-01-12,2018-01-15
"48","Guam_Anao_L1","Guam","Anao","L1","y","r","araneae",0,2018-01-12,2018-01-15
"49","Guam_Anao_L1","Guam","Anao","L1","y","r","isoptera",0,2018-01-12,2018-01-15
"50","Guam_Anao_L1","Guam","Anao","L1","y","r","partial",0,2018-01-12,2018-01-15
"51","Guam_Anao_L1","Guam","Anao","L1","y","r","trichoptera",0,2018-01-12,2018-01-15
"52","Guam_Anao_L1","Guam","Anao","L1","y","r","other",0,2018-01-12,2018-01-15
"53","Guam_Anao_L1","Guam","Anao","L1","w","b","diptera",0,2018-01-12,2018-01-15
"54","Guam_Anao_L1","Guam","Anao","L1","w","b","hemiptera",0,2018-01-12,2018-01-15
"55","Guam_Anao_L1","Guam","Anao","L1","w","b","coleoptera",0,2018-01-12,2018-01-15
"56","Guam_Anao_L1","Guam","Anao","L1","w","b","formicidae",0,2018-01-12,2018-01-15
"57","Guam_Anao_L1","Guam","Anao","L1","w","b","apoidea",0,2018-01-12,2018-01-15
"58","Guam_Anao_L1","Guam","Anao","L1","w","b","crabronidae",0,2018-01-12,2018-01-15
"59","Guam_Anao_L1","Guam","Anao","L1","w","b","lepidoptera",0,2018-01-12,2018-01-15
"60","Guam_Anao_L1","Guam","Anao","L1","w","b","blattodea",0,2018-01-12,2018-01-15
"61","Guam_Anao_L1","Guam","Anao","L1","w","b","araneae",0,2018-01-12,2018-01-15
"62","Guam_Anao_L1","Guam","Anao","L1","w","b","isoptera",0,2018-01-12,2018-01-15
"63","Guam_Anao_L1","Guam","Anao","L1","w","b","partial",0,2018-01-12,2018-01-15
"64","Guam_Anao_L1","Guam","Anao","L1","w","b","trichoptera",0,2018-01-12,2018-01-15
"65","Guam_Anao_L1","Guam","Anao","L1","w","b","other",0,2018-01-12,2018-01-15
"66","Guam_Anao_L1","Guam","Anao","L1","r","b","diptera",4,2018-01-12,2018-01-15
"67","Guam_Anao_L1","Guam","Anao","L1","r","b","hemiptera",0,2018-01-12,2018-01-15
"68","Guam_Anao_L1","Guam","Anao","L1","r","b","coleoptera",0,2018-01-12,2018-01-15
"69","Guam_Anao_L1","Guam","Anao","L1","r","b","formicidae",5,2018-01-12,2018-01-15
"70","Guam_Anao_L1","Guam","Anao","L1","r","b","apoidea",0,2018-01-12,2018-01-15
"71","Guam_Anao_L1","Guam","Anao","L1","r","b","crabronidae",1,2018-01-12,2018-01-15
"72","Guam_Anao_L1","Guam","Anao","L1","r","b","lepidoptera",2,2018-01-12,2018-01-15
"73","Guam_Anao_L1","Guam","Anao","L1","r","b","blattodea",0,2018-01-12,2018-01-15
"74","Guam_Anao_L1","Guam","Anao","L1","r","b","araneae",0,2018-01-12,2018-01-15
"75","Guam_Anao_L1","Guam","Anao","L1","r","b","isoptera",0,2018-01-12,2018-01-15
"76","Guam_Anao_L1","Guam","Anao","L1","r","b","partial",0,2018-01-12,2018-01-15
"77","Guam_Anao_L1","Guam","Anao","L1","r","b","trichoptera",0,2018-01-12,2018-01-15
"78","Guam_Anao_L1","Guam","Anao","L1","r","b","other",0,2018-01-12,2018-01-15
"79","Guam_Anao_L1","Guam","Anao","L1","w","y","diptera",0,2018-01-12,2018-01-15
"80","Guam_Anao_L1","Guam","Anao","L1","w","y","hemiptera",0,2018-01-12,2018-01-15
"81","Guam_Anao_L1","Guam","Anao","L1","w","y","coleoptera",0,2018-01-12,2018-01-15
"82","Guam_Anao_L1","Guam","Anao","L1","w","y","formicidae",1,2018-01-12,2018-01-15
"83","Guam_Anao_L1","Guam","Anao","L1","w","y","apoidea",0,2018-01-12,2018-01-15
"84","Guam_Anao_L1","Guam","Anao","L1","w","y","crabronidae",3,2018-01-12,2018-01-15
"85","Guam_Anao_L1","Guam","Anao","L1","w","y","lepidoptera",0,2018-01-12,2018-01-15
"86","Guam_Anao_L1","Guam","Anao","L1","w","y","blattodea",0,2018-01-12,2018-01-15
"87","Guam_Anao_L1","Guam","Anao","L1","w","y","araneae",0,2018-01-12,2018-01-15
"88","Guam_Anao_L1","Guam","Anao","L1","w","y","isoptera",0,2018-01-12,2018-01-15
"89","Guam_Anao_L1","Guam","Anao","L1","w","y","partial",0,2018-01-12,2018-01-15
"90","Guam_Anao_L1","Guam","Anao","L1","w","y","trichoptera",0,2018-01-12,2018-01-15
"91","Guam_Anao_L1","Guam","Anao","L1","w","y","other",0,2018-01-12,2018-01-15
"92","Guam_Anao_L1","Guam","Anao","L1","r","w","diptera",1,2018-01-12,2018-01-15
"93","Guam_Anao_L1","Guam","Anao","L1","r","w","hemiptera",0,2018-01-12,2018-01-15
"94","Guam_Anao_L1","Guam","Anao","L1","r","w","coleoptera",0,2018-01-12,2018-01-15
"95","Guam_Anao_L1","Guam","Anao","L1","r","w","formicidae",4,2018-01-12,2018-01-15
"96","Guam_Anao_L1","Guam","Anao","L1","r","w","apoidea",0,2018-01-12,2018-01-15
"97","Guam_Anao_L1","Guam","Anao","L1","r","w","crabronidae",0,2018-01-12,2018-01-15
"98","Guam_Anao_L1","Guam","Anao","L1","r","w","lepidoptera",0,2018-01-12,2018-01-15
"99","Guam_Anao_L1","Guam","Anao","L1","r","w","blattodea",0,2018-01-12,2018-01-15
"100","Guam_Anao_L1","Guam","Anao","L1","r","w","araneae",0,2018-01-12,2018-01-15
"101","Guam_Anao_L1","Guam","Anao","L1","r","w","isoptera",0,2018-01-12,2018-01-15
"102","Guam_Anao_L1","Guam","Anao","L1","r","w","partial",0,2018-01-12,2018-01-15
"103","Guam_Anao_L1","Guam","Anao","L1","r","w","trichoptera",0,2018-01-12,2018-01-15
"104","Guam_Anao_L1","Guam","Anao","L1","r","w","other",0,2018-01-12,2018-01-15
"105","Guam_Anao_L1","Guam","Anao","L1","b","b","diptera",0,2018-01-12,2018-01-15
"106","Guam_Anao_L1","Guam","Anao","L1","b","b","hemiptera",0,2018-01-12,2018-01-15
"107","Guam_Anao_L1","Guam","Anao","L1","b","b","coleoptera",1,2018-01-12,2018-01-15
"108","Guam_Anao_L1","Guam","Anao","L1","b","b","formicidae",1,2018-01-12,2018-01-15
"109","Guam_Anao_L1","Guam","Anao","L1","b","b","apoidea",0,2018-01-12,2018-01-15
"110","Guam_Anao_L1","Guam","Anao","L1","b","b","crabronidae",0,2018-01-12,2018-01-15
"111","Guam_Anao_L1","Guam","Anao","L1","b","b","lepidoptera",0,2018-01-12,2018-01-15
"112","Guam_Anao_L1","Guam","Anao","L1","b","b","blattodea",0,2018-01-12,2018-01-15
"113","Guam_Anao_L1","Guam","Anao","L1","b","b","araneae",0,2018-01-12,2018-01-15
"114","Guam_Anao_L1","Guam","Anao","L1","b","b","isoptera",0,2018-01-12,2018-01-15
"115","Guam_Anao_L1","Guam","Anao","L1","b","b","partial",0,2018-01-12,2018-01-15
"116","Guam_Anao_L1","Guam","Anao","L1","b","b","trichoptera",0,2018-01-12,2018-01-15
"117","Guam_Anao_L1","Guam","Anao","L1","b","b","other",0,2018-01-12,2018-01-15
"118","Guam_Anao_L1","Guam","Anao","L1","b","r","diptera",1,2018-01-12,2018-01-15
"119","Guam_Anao_L1","Guam","Anao","L1","b","r","hemiptera",0,2018-01-12,2018-01-15
"120","Guam_Anao_L1","Guam","Anao","L1","b","r","coleoptera",1,2018-01-12,2018-01-15
"121","Guam_Anao_L1","Guam","Anao","L1","b","r","formicidae",1,2018-01-12,2018-01-15
"122","Guam_Anao_L1","Guam","Anao","L1","b","r","apoidea",0,2018-01-12,2018-01-15
"123","Guam_Anao_L1","Guam","Anao","L1","b","r","crabronidae",0,2018-01-12,2018-01-15
"124","Guam_Anao_L1","Guam","Anao","L1","b","r","lepidoptera",0,2018-01-12,2018-01-15
"125","Guam_Anao_L1","Guam","Anao","L1","b","r","blattodea",0,2018-01-12,2018-01-15
"126","Guam_Anao_L1","Guam","Anao","L1","b","r","araneae",0,2018-01-12,2018-01-15
"127","Guam_Anao_L1","Guam","Anao","L1","b","r","isoptera",1,2018-01-12,2018-01-15
"128","Guam_Anao_L1","Guam","Anao","L1","b","r","partial",0,2018-01-12,2018-01-15
"129","Guam_Anao_L1","Guam","Anao","L1","b","r","trichoptera",0,2018-01-12,2018-01-15
"130","Guam_Anao_L1","Guam","Anao","L1","b","r","other",0,2018-01-12,2018-01-15
"131","Guam_Anao_L1","Guam","Anao","L1","b","w","diptera",0,2018-01-12,2018-01-15
"132","Guam_Anao_L1","Guam","Anao","L1","b","w","hemiptera",0,2018-01-12,2018-01-15
"133","Guam_Anao_L1","Guam","Anao","L1","b","w","coleoptera",0,2018-01-12,2018-01-15
"134","Guam_Anao_L1","Guam","Anao","L1","b","w","formicidae",0,2018-01-12,2018-01-15
"135","Guam_Anao_L1","Guam","Anao","L1","b","w","apoidea",0,2018-01-12,2018-01-15
"136","Guam_Anao_L1","Guam","Anao","L1","b","w","crabronidae",0,2018-01-12,2018-01-15
"137","Guam_Anao_L1","Guam","Anao","L1","b","w","lepidoptera",0,2018-01-12,2018-01-15
"138","Guam_Anao_L1","Guam","Anao","L1","b","w","blattodea",0,2018-01-12,2018-01-15
"139","Guam_Anao_L1","Guam","Anao","L1","b","w","araneae",0,2018-01-12,2018-01-15
"140","Guam_Anao_L1","Guam","Anao","L1","b","w","isoptera",0,2018-01-12,2018-01-15
"141","Guam_Anao_L1","Guam","Anao","L1","b","w","partial",0,2018-01-12,2018-01-15
"142","Guam_Anao_L1","Guam","Anao","L1","b","w","trichoptera",0,2018-01-12,2018-01-15
"143","Guam_Anao_L1","Guam","Anao","L1","b","w","other",0,2018-01-12,2018-01-15
"144","Guam_Anao_L1","Guam","Anao","L1","y","y","diptera",0,2018-01-12,2018-01-15
"145","Guam_Anao_L1","Guam","Anao","L1","y","y","hemiptera",0,2018-01-12,2018-01-15
"146","Guam_Anao_L1","Guam","Anao","L1","y","y","coleoptera",1,2018-01-12,2018-01-15
"147","Guam_Anao_L1","Guam","Anao","L1","y","y","formicidae",1,2018-01-12,2018-01-15
"148","Guam_Anao_L1","Guam","Anao","L1","y","y","apoidea",0,2018-01-12,2018-01-15
"149","Guam_Anao_L1","Guam","Anao","L1","y","y","crabronidae",0,2018-01-12,2018-01-15
"150","Guam_Anao_L1","Guam","Anao","L1","y","y","lepidoptera",0,2018-01-12,2018-01-15
"151","Guam_Anao_L1","Guam","Anao","L1","y","y","blattodea",0,2018-01-12,2018-01-15
"152","Guam_Anao_L1","Guam","Anao","L1","y","y","araneae",0,2018-01-12,2018-01-15
"153","Guam_Anao_L1","Guam","Anao","L1","y","y","isoptera",0,2018-01-12,2018-01-15
"154","Guam_Anao_L1","Guam","Anao","L1","y","y","partial",0,2018-01-12,2018-01-15
"155","Guam_Anao_L1","Guam","Anao","L1","y","y","trichoptera",0,2018-01-12,2018-01-15
"156","Guam_Anao_L1","Guam","Anao","L1","y","y","other",0,2018-01-12,2018-01-15
"157","Guam_Anao_L1","Guam","Anao","L1","w","w","diptera",1,2018-01-12,2018-01-15
"158","Guam_Anao_L1","Guam","Anao","L1","w","w","hemiptera",0,2018-01-12,2018-01-15
"159","Guam_Anao_L1","Guam","Anao","L1","w","w","coleoptera",0,2018-01-12,2018-01-15
"160","Guam_Anao_L1","Guam","Anao","L1","w","w","formicidae",2,2018-01-12,2018-01-15
"161","Guam_Anao_L1","Guam","Anao","L1","w","w","apoidea",2,2018-01-12,2018-01-15
"162","Guam_Anao_L1","Guam","Anao","L1","w","w","crabronidae",0,2018-01-12,2018-01-15
"163","Guam_Anao_L1","Guam","Anao","L1","w","w","lepidoptera",1,2018-01-12,2018-01-15
"164","Guam_Anao_L1","Guam","Anao","L1","w","w","blattodea",0,2018-01-12,2018-01-15
"165","Guam_Anao_L1","Guam","Anao","L1","w","w","araneae",0,2018-01-12,2018-01-15
"166","Guam_Anao_L1","Guam","Anao","L1","w","w","isoptera",0,2018-01-12,2018-01-15
"167","Guam_Anao_L1","Guam","Anao","L1","w","w","partial",0,2018-01-12,2018-01-15
"168","Guam_Anao_L1","Guam","Anao","L1","w","w","trichoptera",0,2018-01-12,2018-01-15
"169","Guam_Anao_L1","Guam","Anao","L1","w","w","other",0,2018-01-12,2018-01-15
"170","Guam_Anao_L1","Guam","Anao","L1","w","r","diptera",1,2018-01-12,2018-01-15
"171","Guam_Anao_L1","Guam","Anao","L1","w","r","hemiptera",0,2018-01-12,2018-01-15
"172","Guam_Anao_L1","Guam","Anao","L1","w","r","coleoptera",0,2018-01-12,2018-01-15
"173","Guam_Anao_L1","Guam","Anao","L1","w","r","formicidae",1,2018-01-12,2018-01-15
"174","Guam_Anao_L1","Guam","Anao","L1","w","r","apoidea",0,2018-01-12,2018-01-15
"175","Guam_Anao_L1","Guam","Anao","L1","w","r","crabronidae",1,2018-01-12,2018-01-15
"176","Guam_Anao_L1","Guam","Anao","L1","w","r","lepidoptera",0,2018-01-12,2018-01-15
"177","Guam_Anao_L1","Guam","Anao","L1","w","r","blattodea",0,2018-01-12,2018-01-15
"178","Guam_Anao_L1","Guam","Anao","L1","w","r","araneae",0,2018-01-12,2018-01-15
"179","Guam_Anao_L1","Guam","Anao","L1","w","r","isoptera",0,2018-01-12,2018-01-15
"180","Guam_Anao_L1","Guam","Anao","L1","w","r","partial",0,2018-01-12,2018-01-15
"181","Guam_Anao_L1","Guam","Anao","L1","w","r","trichoptera",0,2018-01-12,2018-01-15
"182","Guam_Anao_L1","Guam","Anao","L1","w","r","other",0,2018-01-12,2018-01-15
"183","Guam_Anao_L1","Guam","Anao","L1","r","r","diptera",6,2018-01-12,2018-01-15
"184","Guam_Anao_L1","Guam","Anao","L1","r","r","hemiptera",0,2018-01-12,2018-01-15
"185","Guam_Anao_L1","Guam","Anao","L1","r","r","coleoptera",1,2018-01-12,2018-01-15
"186","Guam_Anao_L1","Guam","Anao","L1","r","r","formicidae",1,2018-01-12,2018-01-15
"187","Guam_Anao_L1","Guam","Anao","L1","r","r","apoidea",3,2018-01-12,2018-01-15
"188","Guam_Anao_L1","Guam","Anao","L1","r","r","crabronidae",0,2018-01-12,2018-01-15
"189","Guam_Anao_L1","Guam","Anao","L1","r","r","lepidoptera",2,2018-01-12,2018-01-15
"190","Guam_Anao_L1","Guam","Anao","L1","r","r","blattodea",0,2018-01-12,2018-01-15
"191","Guam_Anao_L1","Guam","Anao","L1","r","r","araneae",1,2018-01-12,2018-01-15
"192","Guam_Anao_L1","Guam","Anao","L1","r","r","isoptera",0,2018-01-12,2018-01-15
"193","Guam_Anao_L1","Guam","Anao","L1","r","r","partial",0,2018-01-12,2018-01-15
"194","Guam_Anao_L1","Guam","Anao","L1","r","r","trichoptera",0,2018-01-12,2018-01-15
"195","Guam_Anao_L1","Guam","Anao","L1","r","r","other",0,2018-01-12,2018-01-15
"196","Guam_Anao_L1","Guam","Anao","L1","r","y","diptera",5,2018-01-12,2018-01-15
"197","Guam_Anao_L1","Guam","Anao","L1","r","y","hemiptera",0,2018-01-12,2018-01-15
"198","Guam_Anao_L1","Guam","Anao","L1","r","y","coleoptera",0,2018-01-12,2018-01-15
"199","Guam_Anao_L1","Guam","Anao","L1","r","y","formicidae",5,2018-01-12,2018-01-15
"200","Guam_Anao_L1","Guam","Anao","L1","r","y","apoidea",0,2018-01-12,2018-01-15
"201","Guam_Anao_L1","Guam","Anao","L1","r","y","crabronidae",2,2018-01-12,2018-01-15
"202","Guam_Anao_L1","Guam","Anao","L1","r","y","lepidoptera",1,2018-01-12,2018-01-15
"203","Guam_Anao_L1","Guam","Anao","L1","r","y","blattodea",0,2018-01-12,2018-01-15
"204","Guam_Anao_L1","Guam","Anao","L1","r","y","araneae",0,2018-01-12,2018-01-15
"205","Guam_Anao_L1","Guam","Anao","L1","r","y","isoptera",0,2018-01-12,2018-01-15
"206","Guam_Anao_L1","Guam","Anao","L1","r","y","partial",0,2018-01-12,2018-01-15
"207","Guam_Anao_L1","Guam","Anao","L1","r","y","trichoptera",0,2018-01-12,2018-01-15
"208","Guam_Anao_L1","Guam","Anao","L1","r","y","other",0,2018-01-12,2018-01-15
"209","Guam_Anao_L2","Guam","Anao","L2","b","y","diptera",0,2018-01-12,2018-01-15
"210","Guam_Anao_L2","Guam","Anao","L2","b","y","hemiptera",0,2018-01-12,2018-01-15
"211","Guam_Anao_L2","Guam","Anao","L2","b","y","coleoptera",0,2018-01-12,2018-01-15
"212","Guam_Anao_L2","Guam","Anao","L2","b","y","formicidae",1,2018-01-12,2018-01-15
"213","Guam_Anao_L2","Guam","Anao","L2","b","y","apoidea",0,2018-01-12,2018-01-15
"214","Guam_Anao_L2","Guam","Anao","L2","b","y","crabronidae",0,2018-01-12,2018-01-15
"215","Guam_Anao_L2","Guam","Anao","L2","b","y","lepidoptera",0,2018-01-12,2018-01-15
"216","Guam_Anao_L2","Guam","Anao","L2","b","y","blattodea",0,2018-01-12,2018-01-15
"217","Guam_Anao_L2","Guam","Anao","L2","b","y","araneae",1,2018-01-12,2018-01-15
"218","Guam_Anao_L2","Guam","Anao","L2","b","y","isoptera",0,2018-01-12,2018-01-15
"219","Guam_Anao_L2","Guam","Anao","L2","b","y","partial",0,2018-01-12,2018-01-15
"220","Guam_Anao_L2","Guam","Anao","L2","b","y","trichoptera",0,2018-01-12,2018-01-15
"221","Guam_Anao_L2","Guam","Anao","L2","b","y","other",0,2018-01-12,2018-01-15
"222","Guam_Anao_L2","Guam","Anao","L2","b","b","diptera",0,2018-01-12,2018-01-15
"223","Guam_Anao_L2","Guam","Anao","L2","b","b","hemiptera",0,2018-01-12,2018-01-15
"224","Guam_Anao_L2","Guam","Anao","L2","b","b","coleoptera",0,2018-01-12,2018-01-15
"225","Guam_Anao_L2","Guam","Anao","L2","b","b","formicidae",9,2018-01-12,2018-01-15
"226","Guam_Anao_L2","Guam","Anao","L2","b","b","apoidea",0,2018-01-12,2018-01-15
"227","Guam_Anao_L2","Guam","Anao","L2","b","b","crabronidae",1,2018-01-12,2018-01-15
"228","Guam_Anao_L2","Guam","Anao","L2","b","b","lepidoptera",0,2018-01-12,2018-01-15
"229","Guam_Anao_L2","Guam","Anao","L2","b","b","blattodea",0,2018-01-12,2018-01-15
"230","Guam_Anao_L2","Guam","Anao","L2","b","b","araneae",0,2018-01-12,2018-01-15
"231","Guam_Anao_L2","Guam","Anao","L2","b","b","isoptera",1,2018-01-12,2018-01-15
"232","Guam_Anao_L2","Guam","Anao","L2","b","b","partial",0,2018-01-12,2018-01-15
"233","Guam_Anao_L2","Guam","Anao","L2","b","b","trichoptera",1,2018-01-12,2018-01-15
"234","Guam_Anao_L2","Guam","Anao","L2","b","b","other",0,2018-01-12,2018-01-15
"235","Guam_Anao_L2","Guam","Anao","L2","r","b","diptera",0,2018-01-12,2018-01-15
"236","Guam_Anao_L2","Guam","Anao","L2","r","b","hemiptera",0,2018-01-12,2018-01-15
"237","Guam_Anao_L2","Guam","Anao","L2","r","b","coleoptera",0,2018-01-12,2018-01-15
"238","Guam_Anao_L2","Guam","Anao","L2","r","b","formicidae",0,2018-01-12,2018-01-15
"239","Guam_Anao_L2","Guam","Anao","L2","r","b","apoidea",0,2018-01-12,2018-01-15
"240","Guam_Anao_L2","Guam","Anao","L2","r","b","crabronidae",0,2018-01-12,2018-01-15
"241","Guam_Anao_L2","Guam","Anao","L2","r","b","lepidoptera",0,2018-01-12,2018-01-15
"242","Guam_Anao_L2","Guam","Anao","L2","r","b","blattodea",0,2018-01-12,2018-01-15
"243","Guam_Anao_L2","Guam","Anao","L2","r","b","araneae",0,2018-01-12,2018-01-15
"244","Guam_Anao_L2","Guam","Anao","L2","r","b","isoptera",0,2018-01-12,2018-01-15
"245","Guam_Anao_L2","Guam","Anao","L2","r","b","partial",0,2018-01-12,2018-01-15
"246","Guam_Anao_L2","Guam","Anao","L2","r","b","trichoptera",0,2018-01-12,2018-01-15
"247","Guam_Anao_L2","Guam","Anao","L2","r","b","other",0,2018-01-12,2018-01-15
"248","Guam_Anao_L2","Guam","Anao","L2","y","y","diptera",0,2018-01-12,2018-01-15
"249","Guam_Anao_L2","Guam","Anao","L2","y","y","hemiptera",0,2018-01-12,2018-01-15
"250","Guam_Anao_L2","Guam","Anao","L2","y","y","coleoptera",0,2018-01-12,2018-01-15
"251","Guam_Anao_L2","Guam","Anao","L2","y","y","formicidae",2,2018-01-12,2018-01-15
"252","Guam_Anao_L2","Guam","Anao","L2","y","y","apoidea",0,2018-01-12,2018-01-15
"253","Guam_Anao_L2","Guam","Anao","L2","y","y","crabronidae",0,2018-01-12,2018-01-15
"254","Guam_Anao_L2","Guam","Anao","L2","y","y","lepidoptera",2,2018-01-12,2018-01-15
"255","Guam_Anao_L2","Guam","Anao","L2","y","y","blattodea",0,2018-01-12,2018-01-15
"256","Guam_Anao_L2","Guam","Anao","L2","y","y","araneae",0,2018-01-12,2018-01-15
"257","Guam_Anao_L2","Guam","Anao","L2","y","y","isoptera",0,2018-01-12,2018-01-15
"258","Guam_Anao_L2","Guam","Anao","L2","y","y","partial",0,2018-01-12,2018-01-15
"259","Guam_Anao_L2","Guam","Anao","L2","y","y","trichoptera",0,2018-01-12,2018-01-15
"260","Guam_Anao_L2","Guam","Anao","L2","y","y","other",0,2018-01-12,2018-01-15
"261","Guam_Anao_L2","Guam","Anao","L2","b","r","diptera",0,2018-01-12,2018-01-15
"262","Guam_Anao_L2","Guam","Anao","L2","b","r","hemiptera",0,2018-01-12,2018-01-15
"263","Guam_Anao_L2","Guam","Anao","L2","b","r","coleoptera",0,2018-01-12,2018-01-15
"264","Guam_Anao_L2","Guam","Anao","L2","b","r","formicidae",2,2018-01-12,2018-01-15
"265","Guam_Anao_L2","Guam","Anao","L2","b","r","apoidea",0,2018-01-12,2018-01-15
"266","Guam_Anao_L2","Guam","Anao","L2","b","r","crabronidae",0,2018-01-12,2018-01-15
"267","Guam_Anao_L2","Guam","Anao","L2","b","r","lepidoptera",0,2018-01-12,2018-01-15
"268","Guam_Anao_L2","Guam","Anao","L2","b","r","blattodea",0,2018-01-12,2018-01-15
"269","Guam_Anao_L2","Guam","Anao","L2","b","r","araneae",0,2018-01-12,2018-01-15
"270","Guam_Anao_L2","Guam","Anao","L2","b","r","isoptera",0,2018-01-12,2018-01-15
"271","Guam_Anao_L2","Guam","Anao","L2","b","r","partial",0,2018-01-12,2018-01-15
"272","Guam_Anao_L2","Guam","Anao","L2","b","r","trichoptera",0,2018-01-12,2018-01-15
"273","Guam_Anao_L2","Guam","Anao","L2","b","r","other",0,2018-01-12,2018-01-15
"274","Guam_Anao_L2","Guam","Anao","L2","r","w","diptera",0,2018-01-12,2018-01-15
"275","Guam_Anao_L2","Guam","Anao","L2","r","w","hemiptera",0,2018-01-12,2018-01-15
"276","Guam_Anao_L2","Guam","Anao","L2","r","w","coleoptera",1,2018-01-12,2018-01-15
"277","Guam_Anao_L2","Guam","Anao","L2","r","w","formicidae",0,2018-01-12,2018-01-15
"278","Guam_Anao_L2","Guam","Anao","L2","r","w","apoidea",0,2018-01-12,2018-01-15
